Sample Location,Contaminant ID,Analysis Result,MCL In Effect,Sample Date,Sample Type,Laboratory ID,Analysis Method,Analysis Date,Sample Received Date,SPLIT_PAGES,PWSID,SYSTEM NAME,MAIN_PAGE,TOP_MARGIN,SYSNAME_PAGE
101,CHLORINE,0.85,.,01/01/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/01/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.27,.,01/02/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/02/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.88,.,01/03/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/03/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.85,.,01/04/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/04/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.81,.,01/05/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/05/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.01,.,01/06/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/06/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.05,.,01/07/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/07/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.91,.,01/08/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/08/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.93,.,01/09/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/09/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.81,.,01/10/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/10/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.69,.,01/11/2016,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/11/2016,02/09/2016,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
