Sample Location,Contaminant ID,Analysis Result,MCL In Effect,Sample Date,Sample Type,SPLIT_PAGES,PWSID,SYSTEM NAME,MAIN_PAGE,TOP_MARGIN,SYSNAME_PAGE,Laboratory ID,Analysis Method,Analysis Date,Sample Received Date
101,CHLORINE,0.95,.,01/01/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/01/2017,02/10/2017
101,CHLORINE,1,.,01/02/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/02/2017,02/10/2017
101,CHLORINE,0.91,.,01/03/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/03/2017,02/10/2017
101,CHLORINE,1.03,.,01/04/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/04/2017,02/10/2017
801,TOTAL COLIFORM PRESENCE,0,.,01/04/2017,DISTRIBUTION,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MAHAFFEY LABORATORIES,CHROMO/FLUOROGEN (COLILERT/18),01/05/2017,01/31/2017
101,CHLORINE,0.99,.,01/05/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/05/2017,02/10/2017
101,CHLORINE,2.04,.,01/06/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/06/2017,02/10/2017
101,CHLORINE,1.94,.,01/07/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/07/2017,02/10/2017
101,CHLORINE,2.2,.,01/08/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/08/2017,02/10/2017
101,CHLORINE,2.2,.,01/09/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/09/2017,02/10/2017
101,CHLORINE,2.2,.,01/10/2017,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/10/2017,02/10/2017
