Sample Location,Contaminant ID,Analysis Result,MCL In Effect,Sample Date,Sample Type,SPLIT_PAGES,PWSID,SYSTEM NAME,MAIN_PAGE,TOP_MARGIN,SYSNAME_PAGE,Laboratory ID,Analysis Method,Analysis Date,Sample Received Date
101,CHLORINE,1.55,.,01/01/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/01/2018,02/09/2018
101,CHLORINE,1.17,.,01/02/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/02/2018,02/09/2018
101,CHLORINE,0.91,.,01/03/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/03/2018,02/09/2018
801,TOTAL COLIFORM PRESENCE,0,.,01/03/2018,DISTRIBUTION,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MAHAFFEY LABORATORIES,CHROMO/FLUOROGEN (COLILERT/18),01/05/2018,01/17/2018
101,CHLORINE,1.85,.,01/04/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/04/2018,02/09/2018
101,CHLORINE,2.2,.,01/05/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/05/2018,02/09/2018
101,CHLORINE,2.2,.,01/06/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/06/2018,02/09/2018
101,CHLORINE,1.52,.,01/07/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/07/2018,02/09/2018
101,CHLORINE,0.56,.,01/08/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/08/2018,02/09/2018
101,CHLORINE,0.41,.,01/09/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/09/2018,02/09/2018
101,CHLORINE,0.5,.,01/10/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/10/2018,02/09/2018
101,CHLORINE,0.6,.,01/11/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/11/2018,02/09/2018
101,CHLORINE,0.55,.,01/12/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/12/2018,02/09/2018
101,CHLORINE,0.58,.,01/13/2018,ENTRY POINT,2,6430001, SCENIC MOBILE HOME PARK,1,70,1,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/13/2018,02/09/2018
